Date,Price
2023-08-01,27.19
2023-08-02,29.18
2023-08-03,27.01
2023-08-04,23.31
2023-08-05,20.08
2023-08-06,18.49
2023-08-07,28.31
2023-08-08,28.85
2023-08-09,26.01
2023-08-10,26.85
2023-08-11,22.81
2023-08-12,18.0
2023-08-13,18.08
2023-08-14,25.99
2023-08-15,30.46
2023-08-16,35.79
2023-08-17,43.35
2023-08-18,29.14
2023-08-19,18.05
2023-08-20,19.06
2023-08-21,27.43
2023-08-22,36.04
2023-08-23,26.63
2023-08-24,23.91
2023-08-25,27.73
2023-08-26,16.16
2023-08-27,16.16
2023-08-28,32.09
2023-08-29,37.97
2023-08-30,26.99
2023-08-31,26.02
2023-09-01,21.95
2023-09-02,15.38
2023-09-03,15.19
2023-09-04,19.99
2023-09-05,21.91
2023-09-06,23.36
2023-09-07,22.79
2023-09-08,21.68
2023-09-09,14.21
2023-09-10,13.22
2023-09-11,26.63
2023-09-12,19.96
2023-09-13,23.83
2023-09-14,22.54
2023-09-15,20.74
2023-09-16,13.8
2023-09-17,12.18
2023-09-18,20.75
2023-09-19,16.49
2023-09-20,18.47
2023-09-21,38.88
2023-09-22,13.02
2023-09-23,10.83
2023-09-24,10.39
2023-09-25,16.69
2023-09-26,19.27
2023-09-27,15.25
2023-09-28,14.81
2023-09-29,13.04
2023-09-30,11.22
2023-10-01,10.83
2023-10-02,22.8
2023-10-03,15.05
2023-10-04,12.74
2023-10-05,12.19
2023-10-06,11.12
2023-10-07,9.226
2023-10-08,8.804
2023-10-09,11.29
2023-10-10,10.42
2023-10-11,10.81
2023-10-12,11.57
2023-10-13,11.61
2023-10-14,7.941
2023-10-15,8.6
2023-10-16,14.85
2023-10-17,12.34
2023-10-18,12.82
2023-10-19,13.18
2023-10-20,16.98
2023-10-21,11.31
2023-10-22,11.48
2023-10-23,25.9
2023-10-24,31.36
2023-10-25,29.65
2023-10-26,28.96
2023-10-27,22.92
2023-10-28,17.66
2023-10-29,18.11
2023-10-30,27.25
2023-10-31,29.03
